,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
0,0.396,0.997,6,-2.874,1,0.188,3.24e-05,0.679,0.974,0.0631,77.02,232867,4,1
1,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3,1
2,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,261507,4,1
3,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,171533,4,1
4,0.314,0.894,2,-5.712,1,0.0455,0.000753,0.0,0.308,0.687,111.439,165373,4,1
5,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227,4,1
6,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4,1
7,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,317427,4,1
8,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,312293,4,1
9,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4,1
10,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4,1
11,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,1
12,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4,1
13,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,1
14,0.249,0.911,11,-5.119,1,0.15,0.0011,1.36e-06,0.0993,0.633,100.739,217333,4,1
15,0.4,0.937,0,-3.892,1,0.0337,0.00029,0.0,0.0742,0.825,114.233,170400,4,1
16,0.574,0.929,9,-3.992,1,0.0468,0.0109,3.45e-06,0.353,0.764,105.709,203440,4,1
17,0.343,0.939,11,-4.102,1,0.112,0.0958,0.0,0.381,0.903,116.469,138027,4,1
18,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,167067,4,1
19,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,249627,4,1
20,0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360,4,1
21,0.532,0.753,11,-6.481,1,0.0322,0.0105,0.0,0.389,0.575,104.522,179333,4,1
22,0.47,0.915,11,-6.787,1,0.1,0.000954,7.58e-06,0.35,0.69,107.569,193000,4,1
23,0.343,0.94,9,-7.094,1,0.0907,0.00862,4.6e-06,0.304,0.243,145.513,143573,4,1
24,0.451,0.937,4,-5.524,1,0.0952,0.00244,0.000112,0.148,0.591,100.601,143893,4,1
25,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4,1
26,0.426,0.972,0,-5.122,1,0.0954,0.0017,0.0,0.171,0.341,111.221,165373,4,1
27,0.41,0.959,9,-4.563,1,0.0869,0.000324,0.0,0.0766,0.83,193.155,171600,4,1
28,0.606,0.905,5,-3.117,1,0.0518,0.0044,0.0,0.151,0.706,143.952,151533,4,1
29,0.411,0.962,4,-5.952,1,0.0917,0.103,0.0,0.529,0.622,173.143,172646,4,1
30,0.519,0.78,2,-4.939,1,0.0356,0.00165,2.14e-05,0.156,0.166,145.125,239333,4,1
31,0.462,0.976,5,-3.961,1,0.105,5.91e-05,0.0806,0.978,0.212,139.98,278587,4,1
32,0.436,0.976,8,-2.73,1,0.0618,0.00165,0.0159,0.967,0.19,148.959,279840,4,1
33,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,252040,4,1
