,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.396,0.997,6,-2.874,1,0.188,3.24e-05,0.679,0.974,0.0631,77.02,audio_features,0HKVCidAsbUd8SYrUYQDjo,spotify:track:0HKVCidAsbUd8SYrUYQDjo,https://api.spotify.com/v1/tracks/0HKVCidAsbUd8SYrUYQDjo,https://api.spotify.com/v1/audio-analysis/0HKVCidAsbUd8SYrUYQDjo,232867,4
1,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,audio_features,3cBsEDNhFI9E82vPj3kvi3,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/audio-analysis/3cBsEDNhFI9E82vPj3kvi3,178520,3
2,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,audio_features,4feXJ5IC3avXsVW9WNFSag,spotify:track:4feXJ5IC3avXsVW9WNFSag,https://api.spotify.com/v1/tracks/4feXJ5IC3avXsVW9WNFSag,https://api.spotify.com/v1/audio-analysis/4feXJ5IC3avXsVW9WNFSag,261507,4
3,0.579,0.928,0,-4.344,1,0.0411,0.000715,0.0,0.18,0.882,95.594,audio_features,1fJFuvU2ldmeAm5nFIHcPP,spotify:track:1fJFuvU2ldmeAm5nFIHcPP,https://api.spotify.com/v1/tracks/1fJFuvU2ldmeAm5nFIHcPP,https://api.spotify.com/v1/audio-analysis/1fJFuvU2ldmeAm5nFIHcPP,171533,4
4,0.314,0.894,2,-5.712,1,0.0455,0.000753,0.0,0.308,0.687,111.439,audio_features,0nGBoXoR5o9srQlP0BAZ1Y,spotify:track:0nGBoXoR5o9srQlP0BAZ1Y,https://api.spotify.com/v1/tracks/0nGBoXoR5o9srQlP0BAZ1Y,https://api.spotify.com/v1/audio-analysis/0nGBoXoR5o9srQlP0BAZ1Y,165373,4
5,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,audio_features,7nemcVsXVFZF01iqpIIo2Y,spotify:track:7nemcVsXVFZF01iqpIIo2Y,https://api.spotify.com/v1/tracks/7nemcVsXVFZF01iqpIIo2Y,https://api.spotify.com/v1/audio-analysis/7nemcVsXVFZF01iqpIIo2Y,301227,4
6,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,audio_features,2d4e45fmUnguxh6yqC7gNT,spotify:track:2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/tracks/2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/audio-analysis/2d4e45fmUnguxh6yqC7gNT,231933,4
7,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,audio_features,0C80GCp0mMuBzLf3EAXqxv,spotify:track:0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/tracks/0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/audio-analysis/0C80GCp0mMuBzLf3EAXqxv,317427,4
8,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,audio_features,69QHm3pustz01CJRwdo20z,spotify:track:69QHm3pustz01CJRwdo20z,https://api.spotify.com/v1/tracks/69QHm3pustz01CJRwdo20z,https://api.spotify.com/v1/audio-analysis/69QHm3pustz01CJRwdo20z,312293,4
9,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,audio_features,7LRMbd3LEoV5wZJvXT1Lwb,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,https://api.spotify.com/v1/tracks/7LRMbd3LEoV5wZJvXT1Lwb,https://api.spotify.com/v1/audio-analysis/7LRMbd3LEoV5wZJvXT1Lwb,214667,4
10,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,audio_features,2SiXAy7TuUkycRVbbWDEpo,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,210173,4
